code_module,code_presentation,sex,region,highest_education,imd_band,age,num_of_prev_attempts,studied_credits,disability,Probability
1,2,0,2,3,10,0,0,240,0,1
1,2,1,1,3,3,0,0,60,0,1
1,2,1,9,1,6,0,0,60,0,1
1,2,1,6,2,6,1,0,60,0,1
1,2,0,10,1,9,0,0,60,0,1
1,2,0,1,3,4,1,0,60,0,1
1,2,1,5,1,10,1,0,120,0,1
1,2,1,2,1,8,1,0,90,0,1
1,2,0,4,2,8,0,0,60,0,1
1,2,1,2,1,3,1,0,60,0,1
1,2,0,2,2,7,0,0,60,0,1
1,2,1,5,3,6,1,0,60,0,1
1,2,0,1,2,5,0,0,60,0,1
1,2,1,6,1,7,0,0,60,0,1
1,2,0,2,1,2,0,0,150,0,0
1,2,0,7,1,4,0,0,60,0,1
1,2,0,8,1,4,1,0,60,0,1
1,2,0,5,3,1,1,0,60,0,1
1,2,0,10,2,8,0,0,60,0,1
1,2,0,11,1,3,1,0,60,0,1
1,2,0,4,2,9,0,0,60,0,1
1,2,0,5,1,4,1,0,60,0,1
1,2,0,3,3,7,1,0,60,0,1
1,2,0,8,2,3,1,0,60,0,1
1,2,0,2,3,9,0,0,60,0,1
1,2,1,2,3,10,0,0,60,0,1
1,2,0,11,2,7,0,0,60,0,1
1,2,0,11,3,7,0,0,60,0,1
1,2,0,10,3,1,1,0,60,0,1
1,2,0,2,1,8,0,0,60,0,1
1,2,0,8,3,4,1,0,120,0,1
1,2,0,4,1,5,0,0,60,0,1
1,2,1,8,1,5,1,0,180,0,1
1,2,1,2,2,9,0,0,120,0,1
1,2,1,9,1,10,0,0,60,0,1
1,2,0,7,1,5,0,0,60,0,1
1,2,1,8,1,4,1,0,240,0,1
1,2,1,12,1,6,0,0,60,0,1
1,2,1,4,3,9,0,0,60,0,1
1,2,0,7,3,7,1,0,120,0,1
1,2,1,6,1,3,1,0,60,1,0
1,2,0,12,2,7,1,0,120,0,0
1,2,1,3,1,9,1,0,150,0,1
1,2,0,3,1,1,0,0,420,0,1
1,2,1,8,1,3,0,0,60,0,1
1,2,1,7,1,10,1,0,60,0,1
1,2,0,1,1,8,1,0,60,0,1
1,2,1,11,1,5,0,0,60,0,1
1,2,1,6,2,2,0,0,60,0,1
1,2,0,2,3,10,0,0,60,0,1
1,2,0,5,3,8,0,0,60,0,1
1,2,1,5,1,9,1,0,180,0,0
1,2,0,7,1,4,1,0,120,0,1
1,2,1,7,1,7,1,0,60,0,1
1,2,0,3,1,2,1,0,180,0,1
1,2,0,7,3,9,0,0,170,0,1
1,2,0,3,3,2,1,0,120,0,0
1,2,0,1,3,4,0,0,60,0,1
1,2,0,9,1,6,0,0,60,0,1
1,2,0,1,1,10,1,0,120,0,1
1,2,1,7,2,10,1,0,60,0,1
1,2,0,3,2,6,0,0,60,0,1
1,2,0,7,3,9,0,0,60,0,1
1,2,0,2,1,5,1,0,90,1,0
1,2,1,3,1,2,0,0,60,0,1
1,2,0,3,3,7,1,0,60,0,1
1,2,0,8,2,6,1,0,60,0,1
1,2,0,6,1,3,1,0,60,0,1
1,2,0,8,1,6,1,0,60,0,1
1,2,0,3,1,5,1,0,240,0,1
1,2,0,1,5,10,1,0,60,0,1
1,2,0,4,3,10,0,0,60,0,1
1,2,0,3,3,9,1,0,80,0,1
1,2,0,4,1,10,1,0,120,0,1
1,2,0,2,3,10,0,0,60,0,1
1,2,1,8,3,7,0,0,60,0,0
1,2,0,3,3,3,0,0,60,0,1
1,2,0,7,1,10,0,0,60,0,1
1,2,0,5,2,3,1,0,90,0,1
1,2,0,10,2,3,0,0,60,0,1
1,2,0,5,3,2,1,0,120,0,1
1,2,1,6,2,4,1,0,60,0,1
1,2,1,2,2,8,0,0,60,0,1
